stock,month6change,month12change,month24change,volatilityIndex,fit,,
AAL,0.02,0.14,0.45,0.003298344,0,,0.22
AAPL,0,0.21,0.68,0.007663546,0,,0.51
AAP,0,-0.31,-0.22,0.002199193,0,,0.15
ABBV,0.6,0.88,1.15,0.036913384,0,,2.44
ABC,0.17,0.04,0.13,0.000704487,0,,0.05
ABT,0.19,0.37,0.57,0.007442737,0,,0.49
ACN,0.2,0.34,0.63,0.008356297,0,,0.55
ADBE,0.3,0.67,1.57,0.045295974,0,,2.99
ADI,0.08,0.12,0.74,0.008511384,0,,0.56
ADM,-0.01,-0.05,0.27,0.00112234,0,,0.07
ADP,0.01,0.18,0.4,0.002880696,0,,0.19
ADSK,0.01,0.31,1.54,0.037498103,0,,2.48
ADS,0.03,0.1,0.34,0.001934552,0,,0.13
AEE,-0.08,0.01,0.15,0.000452742,0,,0.03
AEP,-0.1,0.01,0.03,0.000158818,0,,0.01
AES,-0.06,-0.08,0.11,0.000335255,0,,0.02
AET,0.16,0.5,0.92,0.017135434,0,,1.13
AFL,0.06,0.24,0.48,0.00435096,0,,0.29
AGN,-0.29,-0.27,-0.36,0.004348245,0,,0.29
AIG,-0.07,-0.07,0.16,0.000511841,0,,0.03
AIV,-0.14,-0.12,0.1,0.000679971,0,,0.04
AIZ,-0.15,-0.09,0.16,0.000839998,0,,0.06
AJG,0.12,0.23,0.73,0.009091613,0,,0.6
AKAM,0.36,-0.09,0.57,0.007097931,0,,0.47
ALB,-0.13,0.15,1.19,0.021862896,0,,1.45
ALGN,0.35,1.5,3,0.171658507,0,,11.35
ALK,-0.25,-0.32,0.02,0.002498458,0,,0.17
ALLE,-0.02,0.19,0.49,0.004161459,0,,0.28
ALL,0.03,0.24,0.53,0.005125487,0,,0.34
ALXN,-0.15,-0.08,-0.16,0.000836258,0,,0.06
AMAT,0.11,0.37,2.01,0.063196081,0,,4.18
AMD,-0.14,-0.13,5.01,0.380225667,0,,25.14
AME,0.16,0.43,0.66,0.009759666,0,,0.65
AMGN,0.02,0.06,0.24,0.000944637,0,,0.06
AMG,0.04,0.17,0.56,0.005221191,0,,0.35
AMP,0.09,0.3,0.98,0.016068509,0,,1.06
AMT,0.01,0.35,0.64,0.008067125,0,,0.53
AMZN,0.43,0.74,1.9,0.065888772,0,,4.36
ANDV,0.04,0.18,0.38,0.002691324,0,,0.18
ANSS,0.24,0.63,0.89,0.018875862,0,,1.25
ANTM,0.25,0.5,1.03,0.02096194,0,,1.39
AON,0.01,0.23,0.51,0.004763024,0,,0.31
AOS,0.15,0.27,0.99,0.016333349,0,,1.08
APA,-0.11,-0.31,0.05,0.001642328,0,,0.11
APC,0.32,-0.13,0.47,0.005106857,0,,0.34
APD,0.07,0.14,0.21,0.001045904,0,,0.07
APH,0.13,0.31,0.8,0.011473165,0,,0.76
ARE,-0.01,0.05,0.59,0.005385682,0,,0.36
ARNC,-0.01,-0.06,0.06,0.00010345,0,,0.01
ATVI,0.11,0.73,1.42,0.038778335,0,,2.56
AVB,-0.16,-0.1,-0.03,0.000552146,0,,0.04
AVGO,-0.06,0.15,0.95,0.01399948,0,,0.93
AVY,0.23,0.45,0.87,0.015335571,0,,1.01
AWK,-0.04,0.08,0.21,0.000810983,0,,0.05
AXP,0.09,0.2,0.79,0.010110854,0,,0.67
AYI,-0.25,-0.28,-0.16,0.002580751,0,,0.17
AZO,0.34,0.01,0.05,0.001831459,0,,0.12
A,0.12,0.37,0.96,0.016109892,0,,1.07
BAC,0.25,0.36,1.55,0.039162942,0,,2.59
BAX,0.1,0.35,0.82,0.012177227,0,,0.81
BA,0.45,1.09,1.91,0.076450059,0,,5.05
BBT,0.12,0.16,0.72,0.008390916,0,,0.55
BBY,0.15,0.64,1.49,0.040069433,0,,2.65
BDX,0.12,0.24,0.67,0.007894557,0,,0.52
BEN,-0.1,-0.01,0.22,0.000839551,0,,0.06
BF.B,0.33,0.42,0.38,0.006495596,0,,0.43
